OTU_ID	FS1-1	FS1-2	FS1-3	FS1-4	FS2-1	FS2-2	FS2-3	FS2-4	SC1	SC2	SC3	SC4	SC5	TMW1	TMW2	TMW3	TMW4	SGR1	SGR2	SGR3	TL1	TL2	TL3	TL4	TL5	TL6	TL7	TL8	TLSed1	TLSed2	TLSed3	TLSed4	TLSed5	TLSed6	TLSed7	TLSed8	UGS1	UGS2	UGS3	UGW1	UGW2	UGW3
ASV1	34816	12246	21850	23877	7953	21136	19846	20053	0	0	9	10	25	154	123	567	775	1428	4558	1227	284	542	552	697	1950	2507	898	2063	282	268	308	274	296	422	198	216	0	0	0	422	848	3201
ASV2	702	3631	525	410	2415	1387	1124	1250	5088	4048	8652	4409	2792	15077	15211	15320	9641	5082	3223	4182	1173	1790	1849	1887	740	1037	1726	1901	357	314	357	345	310	231	756	422	4042	2902	1756	3337	5734	7568
ASV3	595	1168	11747	8787	1702	1408	1658	5190	0	0	0	0	0	1593	2101	3601	7529	2849	5659	3538	691	4254	1993	772	1698	3501	1019	1620	289	274	327	271	225	168	176	189	0	20	24	3692	6307	5137
ASV4	379	441	99	92	183	257	67	117	0	0	0	0	0	4197	4939	706	2982	1623	7586	9689	663	1893	2318	1888	1404	1645	519	814	74	74	85	91	93	59	59	72	0	0	0	2864	1293	4366
ASV5	98	50	33	35	81	130	92	284	0	0	0	0	0	1276	442	1135	2000	1450	3140	2601	12878	2017	4038	1973	4454	1734	3126	388	49	51	45	38	56	27	22	40	0	0	64	1448	776	1423
ASV6	273	350	97	219	1757	2706	316	564	0	3	0	0	0	1113	180	941	127	1819	1852	1461	2281	5041	1351	789	845	1407	2666	3644	19	25	17	30	21	13	25	27	0	0	0	7203	1790	3783
ASV7	0	12	7	11	7	0	0	0	35	26	49	36	56	18	0	0	20	71	117	150	2723	4167	1413	5265	5250	4185	1990	5317	113	102	8	35	17	10	114	219	5237	1894	4060	28	10	22
ASV8	969	2788	1473	1676	6871	5089	4282	4684	0	0	0	0	0	42	127	933	739	1765	1335	925	319	296	793	822	289	461	655	913	80	59	65	56	67	41	49	62	0	0	0	319	2262	325
ASV9	22	236	16	34	2667	1256	216	369	8719	5930	3606	2185	4475	2012	985	162	419	312	187	241	233	150	85	90	89	385	563	697	246	58	79	49	46	31	225	255	1396	492	1091	181	180	295
ASV10	24	58	27	25	62	36	32	54	88	33	84	100	61	40	54	40	56	0	0	0	0	0	0	0	0	0	0	0	4536	5705	6093	1174	2081	5925	1457	402	0	0	4	2784	797	91
ASV11	8	209	15	15	220	339	6	51	0	0	0	0	0	258	1147	388	175	899	1162	812	803	724	467	4428	8693	1265	1783	667	7	7	7	13	7	6	13	13	0	0	0	402	133	26
ASV12	7	96	0	5	274	86	21	26	2834	2307	2430	3316	2924	197	199	473	99	125	63	76	1702	1920	91	1542	283	613	783	1131	69	166	57	213	42	29	375	239	186	159	39	77	291	53
ASV13	18	21	28	25	46	18	38	57	33	9	23	23	27	37	32	39	34	0	0	0	0	0	0	0	0	0	0	0	2800	4159	3820	833	1527	6243	1022	253	6	0	0	1409	475	75
ASV14	78	1329	137	86	2427	830	554	605	500	541	236	198	345	797	2061	666	315	2426	569	1243	131	210	273	198	59	225	271	351	171	46	50	55	40	19	97	64	489	236	144	249	304	767
ASV15	69	113	183	93	92	124	55	338	0	0	0	0	0	191	98	213	810	1343	1886	1088	371	2197	1788	1516	1455	1128	535	315	0	0	0	0	0	0	0	0	0	0	0	727	991	1022
ASV16	207	390	228	146	626	516	608	546	683	661	702	480	371	175	138	265	188	1348	301	610	339	461	1000	562	343	448	1328	580	412	235	123	152	92	45	266	789	545	246	459	205	160	134
ASV17	18	21	0	0	26	48	23	0	0	0	0	0	0	168	54	75	264	1136	616	516	2560	959	2525	838	1703	1566	287	1059	0	18	0	18	0	0	18	31	0	0	0	418	1016	671
ASV18	0	0	0	0	0	13	7	10	0	0	0	0	0	40	71	464	39	401	150	81	1220	452	2016	1656	86	3132	889	3245	14	9	0	14	8	0	0	6	0	0	0	852	965	424
ASV19	33	4319	36	37	2804	396	247	239	134	152	131	166	110	163	80	435	205	906	370	414	48	63	77	44	33	51	85	60	648	89	91	97	53	78	1671	1249	164	578	186	83	112	117
ASV20	0	346	6	0	340	106	0	0	669	1538	664	56	159	600	1052	3888	122	0	39	0	95	194	72	148	18	451	168	571	23	0	0	0	25	0	127	28	583	363	302	64	198	1117
ASV21	213	151	895	716	366	139	666	263	0	0	0	0	0	665	406	582	1262	818	307	502	152	218	474	390	190	462	370	264	85	66	79	98	86	51	53	84	0	0	0	897	1373	812
ASV22	65	109	618	833	40	129	88	90	0	0	0	0	0	370	635	576	2081	187	1030	883	188	783	1054	375	422	248	183	112	29	19	28	15	21	0	19	22	0	0	0	584	698	874
ASV23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	18	30	1261	2486	168	1598	165	3254	713	1957	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV24	5	5587	0	8	919	308	28	53	282	365	229	33	67	141	261	2274	81	56	41	22	0	0	0	0	0	57	0	50	0	33	24	29	0	21	0	0	0	0	0	0	92	691
ASV25	6	23	15	12	32	21	16	35	30	18	34	37	27	25	24	19	23	0	0	0	0	0	0	0	0	0	0	0	1755	1982	2169	472	760	3044	523	168	12	0	6	964	289	42
ASV26	84	0	0	0	0	0	0	0	12	6002	15	18	4647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	64	149	899	0	0	8
ASV27	18	0	0	0	21	0	0	39	0	0	0	0	8	419	46	59	294	1174	798	1236	242	426	1052	577	2343	831	386	223	0	0	0	15	0	0	0	0	21	37	0	341	225	146
ASV28	9	15	11	8	20	11	19	30	32	10	31	24	21	16	12	17	15	0	0	0	0	0	0	0	0	0	0	0	1745	1907	2031	417	799	2830	496	166	0	0	3	979	227	40
ASV29	53	75	80	605	253	196	59	1019	0	0	0	0	0	58	61	41	55	62	54	0	58	94	240	534	86	98	127	141	7	0	11	0	0	0	22	20	0	0	0	1826	2986	1415
ASV30	0	0	0	0	0	0	0	53	0	0	0	0	0	338	1228	194	1136	147	266	400	55	133	2165	1147	86	89	790	67	0	0	0	0	0	0	0	0	0	0	0	150	372	168
ASV31	0	0	0	0	0	0	0	0	3761	200	3003	65	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	28	10	0	0	0
ASV32	0	143	0	0	882	282	78	135	1248	2069	371	261	1133	239	160	53	112	65	138	216	81	72	50	35	51	91	123	163	143	122	0	0	0	0	53	176	254	0	203	26	0	0
ASV33	0	0	0	0	38	32	0	0	0	22	0	0	15	0	0	41	0	110	66	33	25	0	0	0	0	14	55	15	0	22	0	0	0	0	0	0	5412	2486	1146	0	52	20
ASV34	0	113	0	0	178	66	63	57	100	0	172	99	0	0	0	170	177	187	154	203	1002	583	74	1245	528	472	118	2170	0	0	0	0	0	0	0	0	0	0	0	84	187	218
ASV35	0	0	0	0	101	24	10	21	1479	718	2303	1907	916	29	15	32	45	0	29	62	21	31	27	21	7	14	24	26	34	4	0	0	0	0	141	47	61	102	14	51	57	74
ASV36	21	16	23	14	17	21	69	31	11	7	14	11	11	23	21	22	23	62	0	19	0	31	0	0	0	0	0	0	1124	1478	1268	289	528	1921	319	97	0	0	0	544	198	46
ASV37	0	0	0	0	0	0	0	0	79	43	56	75	51	30	0	33	34	0	50	64	0	0	0	0	0	0	32	12	423	500	270	411	165	37	119	742	756	2799	1023	24	27	33
