#SpeciesID	Snow1	Snow2	Snow3	Snow4	Snow5	Snow6	Snow7	Snow8	SupC1	SupC2	SupC3	SupC4	SupC5	SupS1	SupS2	SupS3	ProW1	ProW2	ProW3	ProW4	ProW5	ProW6	ProW7	ProW8	ProS1	ProS2	ProS3	ProS4	ProS5	ProS6	ProS7	ProS8	SupS4	SupS5	SupS6	SupS7	SubS1	SubS2	SubS3	SubM1	SubM2	SubM3
ASV1	51871	15764	29807	31083	8815	24113	24188	23322	0	0	10	14	31	2163	5543	1736	372	671	682	880	2432	3696	1187	2804	324	320	322	296	320	585	198	255	203	152	782	1100	0	0	0	517	858	3974
ASV2	1019	4725	733	546	2672	1572	1360	1458	6408	4638	10325	5145	3509	7941	3914	5855	1567	2206	2292	2324	931	1498	2280	2678	413	374	382	373	349	309	756	496	21337	19885	21153	13709	4550	2955	2897	4063	5801	9364
ASV3	902	1493	16139	11410	1884	1625	2017	6015	0	0	0	0	0	4379	6873	4973	891	5289	2513	952	2090	5148	1354	2170	327	323	338	297	246	244	176	234	2224	2823	5028	10736	0	21	44	4547	6397	6353
ASV4	537	585	146	115	202	297	85	140	0	0	0	0	0	2522	9239	13537	884	2379	2905	2287	1732	2452	689	1148	88	87	90	99	102	101	59	85	5910	6560	970	4263	0	0	0	3491	1320	5331
ASV5	151	66	42	40	94	148	120	336	0	0	0	0	0	2263	3800	3615	16887	2518	5046	2423	5477	2580	4107	525	55	56	48	40	59	38	22	46	1794	569	1615	2856	0	0	108	1750	789	1755
ASV6	405	421	142	300	1949	3077	381	642	0	4	0	0	3	2814	2273	2096	2969	6211	1653	955	1069	2097	3586	4962	21	29	19	37	21	16	25	32	1544	251	1307	163	0	0	0	8884	1817	4626
ASV7	0	16	12	13	8	0	0	0	42	31	55	47	69	112	147	205	3578	5180	1774	6469	6614	6165	2642	7293	127	117	8	38	19	11	114	261	22	0	0	24	5908	1931	6819	34	11	28
ASV8	1455	3579	2017	2156	7598	5800	5180	5431	0	0	0	0	0	2643	1619	1311	424	348	966	1039	353	686	854	1237	85	67	68	69	71	58	49	69	72	175	1289	1046	0	0	0	408	2285	406
ASV9	35	296	20	43	2960	1418	260	423	10891	6820	4275	2551	5503	483	239	335	325	180	99	112	113	532	754	982	269	72	84	54	54	42	225	302	2819	1256	221	601	1593	500	1851	219	183	355
ASV10	36	79	35	38	64	40	39	65	114	43	95	116	74	0	0	0	0	0	0	0	0	0	0	0	5135	6653	6393	1286	2267	8106	1457	469	53	66	58	83	0	0	10	3397	810	107
ASV11	11	278	24	18	241	388	7	60	0	0	0	0	0	1402	1450	1141	1032	883	568	5466	10809	1859	2402	903	8	9	8	15	7	7	13	14	377	1549	535	224	0	0	0	502	134	36
ASV12	8	139	0	5	304	98	26	34	3545	2645	2891	3917	3601	186	74	117	2238	2425	124	1926	352	914	1022	1593	76	191	60	232	44	36	375	275	279	260	655	145	216	162	63	87	294	66
ASV13	24	32	41	28	50	19	42	69	43	11	33	29	29	0	0	0	0	0	0	0	0	0	0	0	3145	4977	4016	906	1650	8521	1022	289	52	39	49	54	7	0	0	1734	482	97
ASV14	129	1702	184	110	2708	937	675	703	628	598	284	233	411	3749	710	1728	161	264	347	248	77	339	362	489	197	56	53	55	42	27	97	74	1083	2689	916	458	551	237	230	310	308	959
ASV15	97	142	250	136	99	140	58	393	0	0	0	0	0	2040	2302	1565	491	2688	2238	1875	1806	1585	694	440	0	0	0	0	0	0	0	0	280	133	298	1166	0	0	0	895	1004	1260
ASV16	284	516	297	180	689	593	729	641	834	751	845	579	495	2161	375	862	441	563	1269	678	413	625	1780	798	476	285	129	164	97	71	266	955	247	176	351	291	621	255	799	255	162	167
ASV17	22	31	0	0	31	51	29	0	0	0	0	0	0	1738	744	756	3336	1205	3179	1032	2146	2235	374	1447	0	21	0	20	0	0	18	34	240	76	96	390	0	0	0	502	1025	826
ASV18	0	0	0	0	0	14	9	12	0	0	0	0	0	594	179	120	1591	547	2519	2023	100	4529	1167	4441	17	10	0	15	10	0	0	11	56	91	613	53	0	0	0	1003	974	532
ASV19	49	5556	41	41	3093	459	310	267	168	175	159	200	141	1412	461	600	60	77	94	60	41	77	105	88	740	108	97	105	57	99	1671	1450	224	116	600	299	189	583	344	101	112	144
ASV20	0	447	11	0	365	120	0	0	848	1772	796	65	193	0	45	0	127	247	89	181	22	692	227	781	26	0	0	0	28	0	127	32	821	1418	5317	195	649	367	523	84	205	1386
ASV21	311	193	1260	913	409	165	781	297	0	0	0	0	0	1227	379	649	190	264	584	496	233	686	479	360	93	77	85	108	91	62	53	98	917	545	807	1816	0	0	0	1095	1400	1018
ASV22	97	133	829	1093	41	140	108	110	0	0	0	0	0	292	1252	1223	249	986	1329	448	522	374	237	140	32	20	28	19	23	0	19	24	535	831	776	2952	0	0	0	715	708	1100
ASV23	0	0	0	0	0	0	0	0	0	0	0	0	0	33	23	39	1676	3091	209	1972	197	4729	958	2679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV24	9	7108	0	10	1010	349	37	61	349	426	276	43	87	92	57	29	0	0	0	0	0	81	0	69	0	39	27	32	0	30	0	0	205	341	3179	116	0	0	0	0	94	844
ASV25	9	26	19	20	37	22	22	36	35	19	40	44	32	0	0	0	0	0	0	0	0	0	0	0	1970	2329	2283	515	823	4205	523	195	32	35	28	28	12	0	10	1172	295	53
ASV26	127	0	0	0	0	0	0	0	19	6836	19	23	5741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	69	150	1516	0	0	11
ASV27	21	0	0	0	21	0	0	45	0	0	0	0	10	1759	988	1706	313	527	1332	690	2921	1192	504	306	0	0	0	16	0	0	0	0	608	67	78	419	27	37	0	428	226	182
ASV28	10	17	18	12	22	12	25	35	40	13	33	34	30	0	0	0	0	0	0	0	0	0	0	0	1968	2262	2151	455	860	3850	496	186	26	15	26	18	0	0	7	1204	229	50
ASV29	71	100	98	772	284	224	76	1198	0	0	0	0	0	87	68	0	81	120	303	641	100	150	182	196	8	0	13	0	0	0	22	21	85	82	56	80	0	0	0	2252	3031	1735
ASV30	0	0	0	0	0	0	0	62	0	0	0	0	0	244	338	537	76	169	2677	1426	113	134	1041	88	0	0	0	0	0	0	0	0	511	1647	270	1649	0	0	0	191	375	213
ASV31	0	0	0	0	0	0	0	0	4715	227	3564	76	3096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	28	16	0	0	0
ASV32	0	198	0	0	967	320	103	151	1516	2371	441	297	1426	105	161	292	106	92	64	50	60	123	177	223	164	145	0	0	0	0	53	210	345	217	70	166	277	0	350	31	0	0
ASV33	0	0	0	0	47	36	0	0	0	23	0	0	19	162	87	44	34	0	0	0	0	22	74	21	0	24	0	0	0	0	0	0	0	0	58	0	6093	2529	1894	0	54	28
ASV34	0	149	0	0	190	73	86	66	119	0	199	116	0	296	187	265	1310	722	97	1541	667	677	170	3010	0	0	0	0	0	0	0	0	0	0	232	258	0	0	0	109	189	277
ASV35	0	0	0	0	107	30	11	21	1875	819	2762	2226	1139	0	39	89	30	41	35	25	10	19	35	38	35	8	0	0	0	0	141	52	35	18	45	62	68	104	22	57	58	95
ASV36	37	19	27	19	18	24	86	35	12	8	14	14	14	83	0	28	0	37	0	0	0	0	0	0	1246	1758	1333	309	570	2618	319	118	29	24	29	33	0	0	0	670	198	54
ASV37	0	0	0	0	0	0	0	0	89	46	68	90	66	0	62	86	0	0	0	0	0	0	40	16	494	600	277	447	180	53	119	863	51	0	43	54	865	2850	1746	32	27	39
ASV38	15	20	32	30	18	22	24	37	20	8	24	25	18	0	0	0	0	0	0	0	0	0	0	0	1126	1739	1428	294	509	2336	348	106	0	0	30	0	0	0	0	601	164	37
ASV39	13	28	0	0	76	66	83	83	15	24	19	28	30	210	62	63	173	80	55	70	35	39	288	43	63	188	44	203	117	67	356	96	36	21	54	63	3841	1346	702	23	0	46
ASV40	538	182	57	82	59	46	197	20	0	0	0	0	0	1226	457	690	204	51	372	79	1300	153	96	32	20	20	11	0	18	28	0	22	71	0	91	333	0	0	0	1027	267	784
ASV41	13	22	13	0	21	14	14	13	0	0	0	0	0	2	12	0	0	0	6	0	7	0	16	13	163	865	1254	1227	701	392	2169	473	0	18	16	12	53	189	534	23	20	21
ASV42	0	29	4	0	32	6	15	14	106	61	184	73	67	88	147	274	511	389	73	373	142	377	76	789	64	75	17	10	8	0	42	342	235	77	128	192	294	513	1522	61	72	180
ASV43	20	347	8	17	321	143	66	57	577	678	708	757	595	34	29	20	58	65	76	27	30	44	61	48	75	0	29	62	17	0	59	0	300	215	316	139	208	135	218	135	271	248
ASV44	0	23	4	14	21	17	23	14	14	10	0	0	14	0	22	43	24	50	0	34	11	19	38	46	218	464	220	243	55	86	879	799	29	0	22	22	574	1146	1798	11	0	19
ASV45	67	92	320	223	88	148	67	404	0	0	0	0	0	57	810	293	73	741	362	171	289	311	94	95	0	0	0	0	0	0	0	0	99	53	171	415	0	0	0	349	426	488
ASV46	49	8	22	7	45	33	24	28	0	0	10	0	0	168	244	184	72	180	1010	995	107	124	1626	176	11	12	4	10	14	11	0	0	82	460	130	288	0	0	0	62	100	92
ASV47	118	182	199	199	132	73	154	113	0	0	0	0	0	251	47	220	481	178	184	362	1545	61	226	180	30	30	23	45	29	23	14	38	76	53	175	166	0	0	0	286	178	233
ASV48	0	0	0	0	26	0	0	36	0	10	0	0	4178	191	65	54	0	19	0	41	31	140	151	68	0	0	0	0	0	0	0	0	43	15	113	578	24	231	155	17	19	52
ASV49	43	0	0	407	202	127	0	616	0	0	0	0	0	120	0	0	37	0	143	318	32	65	90	87	0	14	0	22	0	0	0	0	0	0	0	0	0	0	0	1119	1442	873
ASV50	5	15	11	0	9	11	20	18	9	0	14	16	11	0	0	0	0	0	0	0	0	0	0	0	817	862	809	162	329	1676	197	74	6	11	22	0	0	0	0	479	66	17
ASV51	0	46	0	0	447	407	46	114	131	399	239	73	204	154	45	127	47	30	17	0	18	79	182	209	36	0	0	0	0	0	53	73	891	644	37	221	214	44	281	26	25	28
ASV52	0	0	0	0	0	0	0	16	0	0	0	0	0	104	12	27	20	48	120	26	25	26	166	105	0	66	0	0	0	0	13	54	18	50	22	0	1245	857	2528	0	23	0
