SampleID	Management	Location
Snow1	SUP	snow
Snow2	SUP	snow
Snow3	SUP	snow
Snow4	SUP	snow
Snow5	SUP	snow
Snow6	SUP	snow
Snow7	SUP	snow
Snow8	SUP	snow
SupC1	SUP	supc
SupC2	SUP	supc
SupC3	SUP	supc
SupC4	SUP	supc
SupC5	SUP	supc
SupS1	SUP	sups
SupS2	SUP	sups
SupS3	SUP	sups
ProW1	PRO	prow
ProW2	PRO	prow
ProW3	PRO	prow
ProW4	PRO	prow
ProW5	PRO	prow
ProW6	PRO	prow
ProW7	PRO	prow
ProW8	PRO	prow
ProS1	PRO	pros
ProS2	PRO	pros
ProS3	PRO	pros
ProS4	PRO	pros
ProS5	PRO	pros
ProS6	PRO	pros
ProS7	PRO	pros
ProS8	PRO	pros
SupS4	SUP	sups
SupS5	SUP	sups
SupS6	SUP	sups
SupS7	SUP	sups
SubS1	SUB	subs
SubS2	SUB	subs
SubS3	SUB	subs
SubM1	SUB	subm
SubM2	SUB	subm
SubM3	SUB	subm
