#SampleID	Description	Env	SourceSink
Snow1	1	snow	source
Snow2	2	snow	source
Snow3	3	snow	source
Snow4	4	snow	source
Snow5	5	snow	source
Snow6	6	snow	source
Snow7	7	snow	source
Snow8	8	snow	source
SupC1	9	supc	source
SupC2	10	supc	source
SupC3	11	supc	source
SupC4	12	supc	source
SupC5	13	supc	source
SupS1	14	sups	source
SupS2	15	sups	source
SupS3	16	sups	source
ProW1	17	prow	source
ProW2	18	prow	source
ProW3	19	prow	source
ProW4	20	prow	source
ProW5	21	prow	source
ProW6	22	prow	source
ProW7	23	prow	source
ProW8	24	prow	source
ProS1	25	pros	sink
ProS2	26	pros	sink
ProS3	27	pros	sink
ProS4	28	pros	sink
ProS5	29	pros	sink
ProS6	30	pros	sink
ProS7	31	pros	sink
ProS8	32	pros	sink
SupS4	33	sups	source
SupS5	34	sups	source
SupS6	35	sups	source
SupS7	36	sups	source
SubS1	37	subs	source
SubS2	38	subs	source
SubS3	39	subs	source
SubM1	40	subm	source
SubM2	41	subm	source
SubM3	42	subm	source
